Model	Tool Used	Tool version	Gene Set library 	Background List	Stat test used	FDR used	Tool Used	Tool version	Gene Set library 	Background List	Stat test used	FDR used	PMC ID
deepseek-r1:70b	Not described	Not described	Not described	Yes	Hypergeometric test	Yes	0	1	1	0	1	1	PMC6350986
gemma3:27b	GSEA	Not described	GO, KEGG, Reactome, MSigDB	Not described	Hypergeometric test, Fisher's exact test	Yes	1	1	0	1	0.5	1	PMC6350986
llama3.3:70b	GSEA	Not described	Not described	Not described	Hypergeometric test, binomial test	Yes	1	1	1	1	0.5	1	PMC6350986
mistral-small3.1:24b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	1	1	0	0	PMC6350986
phi4:14b	Fortran	Not described	Vectorbase	Not described	Not described	Yes	0	1	0	1	0	1	PMC6350986
qwen3:32b	R	Yes	Not described	Yes	Hypergeometric test, binomial test	Yes	0	0	1	0	0.5	1	PMC6350986
qwq:32b	Not described	Not described	Not described	Yes	Hypergeometric test	Not described	0	1	1	0	1	0	PMC6350986
gpt-oss:20b	Not described	Not described	Not described	Yes	Hypergeometric test	Not described	0	1	1	0	1	0	PMC6350986
GPT-4.1-nano	Hypergeometric test	Not described	Not described	Not described	Hypergeometric test	Yes	0	1	1	1	1	1	PMC6350986
GPT-4.1-mini	GSEA	Not described	Not described	Yes	Hypergeometric test	Not described	1	1	1	0	1	0	PMC6350986
GPT-4.1	Not described	Not described	Not described	Yes	Hypergeometric test	Not described	0	1	1	0	1	0	PMC6350986
Haiku3.5	GSEA	Not described	Not described	Yes	Hypergeometric test	Not described	1	1	1	0	1	0	PMC6350986
Sonnet4	GSEA	Not described	Not described	Yes	Hypergeometric test	Not described	1	1	1	0	1	0	PMC6350986
human	GSEA	No	Not mentioned	No	Hypergeometric test	Yes							PMC6350986
deepseek-r1:70b	GSEA	Not described	Custom TRM	Not described	Hypergeometric test	Yes	0.3	0	0.5	0	0	1	PMC6370189
gemma3:27b	GSEA	Not described	MSigDB	Not described	Hypergeometric test	Yes	0.3	0	0	0	0	1	PMC6370189
llama3.3:70b	GSEA	Not described	MSigDB, Custom TRM	Not described	Not described	Yes	0.3	0	0.5	0	1	1	PMC6370189
mistral-small3.1:24b	GSEA	Not described	Not described	Not described	Not described	Not described	0.3	0	0	0	1	0	PMC6370189
phi4:14b	GSEA	Not described	Not described	Not described	Hypergeometric test	Yes	0.3	0	0	0	0	1	PMC6370189
qwen3:32b	GSEA	Not described	Not described	Not described	Not described	Yes	0.3	0	0	0	1	1	PMC6370189
qwq:32b	GSEA	Not described	TRM sets	Not described	Not described	Yes	0.3	0	0.5	0	1	1	PMC6370189
gpt-oss:20b	GSEA	4.1.1	GO, TRM sets	Not described	Bootstrap permutation	Yes	0.3	1	1	0	0	1	PMC6370189
GPT-4.1-nano	GOrilla, REVIGO, GSEA	Yes only for GSEA	GO, TRM sets	Yes	Hypergeometric test	Yes	1	1	1	1	0	1	PMC6370189
GPT-4.1-mini	GOrilla, REVIGO, GSEA	Yes only for GSEA	GO, TRM sets	Yes	Hypergeometric test, permutation test	Yes	1	1	1	1	0	1	PMC6370189
GPT-4.1	GOrilla, REVIGO, GSEA	Yes only for GSEA	GO, TRM sets	Yes	Not described	Yes	1	1	1	1	1	1	PMC6370189
Haiku3.5	GOrilla, REVIGO, GSEA	Yes only for GSEA	GO, TRM sets	Yes	Bootstrap permutation	Yes	1	1	1	1	0	1	PMC6370189
Sonnet4	GOrilla, REVIGO, GSEA	Yes only for GSEA	GO, TRM sets	Yes	Not described	Yes	1	1	1	1	1	1	PMC6370189
human	GOrilla, REVIGO, GSEA	Yes - GSEA version 2.2.3	GO, TRM sets	Yes - in GOrilla	Not mentioned	Yes							PMC6370189
deepseek-r1:70b	Not described	Not described	Not described	Not described	Not described	Not described	0	0	0	0	0	0	PMC6407597
gemma3:27b	Not described	Not described	GO, KEGG	Not described	Hypergeometric test	Yes	0	0	0.5	0	1	1	PMC6407597
llama3.3:70b	Not described	Not described	GO	Not described	Not described	Not described	0	0	1	0	0	0	PMC6407597
mistral-small3.1:24b	Not described	Not described	Not described	Not described	Not described	Not described	0	0	0	0	0	0	PMC6407597
phi4:14b	DAVID, GSEA, Enrichr	Not described	GO, KEGG, Reactome, MSigDB	Not described	Hypergeometric test, Fisher's exact test	Not described	0	0	0.3	0	0.5	0	PMC6407597
qwen3:32b	DAVID	Not described	GO	Not described	Not described	Not described	0	0	1	0	0	0	PMC6407597
qwq:32b	DAVID	Not described	GO	Not described	Not described	Not described	0	0	1	0	0	0	PMC6407597
gpt-oss:20b	Not described	Not described	GO, Reactome	Not described	Not described	Not described	0	0	0.5	0	0	0	PMC6407597
GPT-4.1-nano	FunRich	2.1.2	Funrich	Yes	Hypergeometric test	Yes	1	1	0	1	1	1	PMC6407597
GPT-4.1-mini	FunRich	2.1.2	GO	Yes	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6407597
GPT-4.1	FunRich	2.1.2	GO	Yes	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6407597
Haiku3.5	FunRich	2.1.2	GO	Not described	Hypergeometric test	Yes	1	1	1	0	1	1	PMC6407597
Sonnet4	FunRich	2.1.2	GO	Yes	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6407597
human	FunRich	version 2.1.2	GO	Yes	Hypergeometric test	Yes							PMC6407597
